	alphaj	deltaj1	deltaj2
study	0.838620011	-0.120234504	-1.992632699
social	0.778437024	-0.327546202	-0.195207585
provide	0.194961327	2.075321141	-4.561863609
develop	0.368676896	3.769206347	-4.051210152
research	0.395833392	-0.327775838	-2.896785697
include	0.582434325	0.776380043	0.39280534
effect	0.397068507	-0.934201265	-3.373457197
policy	0.901020023	-0.397903218	-1.844389251
relationship	0.604566286	-0.206771281	-2.236606122
require	0.788097606	-1.659997014	-0.219492879
analysis	0.35843963	4.141495376	-4.379198523
practice	1.125465217	1.306436339	-2.014220341
control	1.041318326	-0.282523763	-0.019901838
rate	0.81223109	-0.67862868	-1.773898164
factor	1.074820688	-0.030334809	-2.192162337
figure	0.939016554	0.556477527	-1.86997298
interest	1.014165103	0.514026468	-2.796686975
base	1.42620891	0.476109729	-0.4333989
individual	1.256169979	-1.034735127	-0.416697879
indicate	0.459401235	3.919392448	-1.334753087
subject	0.766716122	-1.44706739	-3.085902759
condition	0.7896694	0.303640185	-1.054245951
knowledge	0.623902266	-0.324063015	-1.554379068
performance	1.034650873	-0.689084857	0.237588234
response	1.544972047	-0.942680952	-0.40488331
support	1.023783104	-0.004863785	-2.172261369
organization	1.275939102	-1.010980256	-2.030342949
increase	0.67773309	-1.904856664	-2.384983168
source	1.061045214	-1.445964051	-2.162595052
resource	0.714529122	-0.240611023	-3.575288523
goal	0.824798421	-1.0131878	-1.241115048
represent	0.62602392	4.737507377	-4.772984224
present	0.533135015	1.325021973	-0.417347618
term	0.605436049	0.774426652	-5.449745455
measure	1.229094285	0.07665953	-0.717124932
movement	1.077369436	-1.158195594	-1.066150389
concern	0.826809547	-1.622065688	-0.202123042
basis	0.768467922	0.083651625	-0.386363011
stagnation	1.183047054	0.824908625	2.496642884
application	0.691230792	1.016715389	-0.975260964
lack	1.01879653	0.330029728	-1.314649912
express	0.608862792	1.38151913	-1.441250673
labor	1.188596536	0.674994703	-0.301216428
consumption	0.733519075	-0.649988733	-2.011342196
scope	0.859987403	1.59930025	-1.441158481
distinguish	0.706738786	0.40364773	0.104605741
adapt	0.910942504	0.011937348	-0.461284079
function	0.923232717	1.481874874	1.040919273
stable	0.977267061	-0.210851427	-0.109059745
scheme	1.454143786	1.764718664	-0.777026034
innate	0.885687165	1.609413976	-0.298671521
overestimate	0.749526308	0.31426529	4.422401656
bias	1.257154011	1.470355501	-0.061014019
offence	1.473982314	0.021644006	-0.172781702
researcher	0.376232144	-1.625481712	-0.006299699
survey	0.594313051	1.932342493	-1.896955872
eradication	1.570846792	0.784081861	0.533375856
focus	1.320091059	-0.395775008	-0.374684969
contrast	0.551776149	1.702570682	-0.750860606
journal	1.413480781	-0.256733783	-0.277004417
consequence	0.950222313	0.748646623	0.205487897
device	0.852291667	0.543729556	-2.574704748
trend	1.091614847	0.049220582	-0.547144839
origin	1.103071017	-0.88265226	0.647249186
alternative	1.439746042	-0.286374687	0.196749059
domain	1.417845244	0.35337376	-0.009118437
migration	1.525218811	-0.016341925	-0.172333521
uncertainty	1.092325166	-0.247690143	-0.915380582
efficiency	0.365575008	1.46545396	-2.108907398
dynamics	0.969190281	1.685128674	-0.801719255
maintenance	0.833693587	-0.195398401	-0.395179111
compliance	0.816878321	0.277925636	0.434174284
integrity	0.98278273	-0.160272633	0.347337592
hierarchy	1.143783946	0.613632043	0.22121451
conversion	0.909369607	0.356994152	0.434992585
imagery	1.367171077	0.402215522	0.044244269
artifact	0.899603559	0.71953745	0.417315214
geographic	0.654817775	2.338698444	-1.139614773
erosion	0.776121912	0.798294764	-1.614522699
analogy	0.793111167	1.630238977	0.224154711
endeavor	0.858681425	1.258475398	0.650827362
obstacle	1.028381837	-0.209727971	0.812699094
modification	0.553474996	1.151651859	1.854400661
axis	0.788369141	1.996506711	-3.744384083
coordination	0.854455823	1.522728713	-2.037635627
preservation	0.648121269	-0.418769528	1.221269633
proliferation	0.954151047	1.770281981	0.192628761
interference	0.804913965	0.826535023	-0.385785283
mediation	0.681753821	2.111596303	0.167182798
petroleum	1.222189055	-1.045889907	-0.445825813
superiority	1.230642195	0.563229129	0.466801213
resonance	0.964689257	2.794553296	-3.259996995
decay	0.792648109	0.17228021	-0.30823849
deprivation	1.023607978	1.365571002	-1.722915562
insecurity	1.415653376	0.866523023	1.140915999
dichotomy	1.112657802	3.200601231	-1.180025748
