a	b	c	d	Group
2.225	-1.885	0.210	1.000	Audio1
1.174	-2.411	0.212	1.000	Audio1
2.104	-2.439	0.192	1.000	Audio1
2.691	-1.282	0.294	1.000	Audio1
1.256	-1.930	0.170	1.000	Audio1
1.447	-1.554	0.205	1.000	Audio1
1.947	-1.075	0.246	1.000	Audio1
2.817	-0.551	0.105	1.000	Audio1
2.664	-0.626	0.095	1.000	Audio1
3.218	-0.246	0.078	1.000	Audio1
2.572	0.251	0.147	1.000	Audio1
2.311	0.189	0.178	1.000	Audio1
1.768	-1.534	0.185	1.000	Audio2
1.615	-3.088	0.202	1.000	Audio2
2.107	-1.139	0.224	1.000	Audio2
1.455	-1.673	0.182	1.000	Audio2
1.722	-1.349	0.195	1.000	Audio2
1.789	-1.481	0.144	1.000	Audio2
3.533	-0.962	0.168	1.000	Audio2
1.615	-1.441	0.133	1.000	Audio2
1.176	-0.549	0.223	1.000	Audio2
2.218	-0.814	0.115	1.000	Audio2
2.405	-0.454	0.076	1.000	Audio2
2.029	-0.008	0.117	1.000	Audio2
1.973	0.805	0.094	1.000	Audio2
1.030	-1.229	0.183	1.000	Audio2
0.814	0.687	0.215	1.000	Audio2
1.770	-1.104	0.192	1.000	Audio2
1.322	-1.441	0.134	1.000	Audio2
2.841	-0.257	0.341	1.000	Audio2
2.310	-0.282	0.239	1.000	Audio2
0.407	-1.103	0.236	1.000	Audio2
0.866	-2.224	0.195	1.000	Audio2
0.912	-3.457	0.194	1.000	Written1
1.753	-1.658	0.210	1.000	Written1
2.442	-2.070	0.168	1.000	Written1
1.756	-1.782	0.233	1.000	Written1
1.728	-1.991	0.214	1.000	Written1
0.888	-2.815	0.201	1.000	Written1
2.771	-1.412	0.252	1.000	Written1
1.469	-1.531	0.218	1.000	Written1
1.736	-1.945	0.253	1.000	Written1
2.131	-0.810	0.295	1.000	Written1
3.826	-0.729	0.212	1.000	Written1
3.171	-0.663	0.222	1.000	Written1
2.029	-0.993	0.224	1.000	Written1
1.248	-2.392	0.196	1.000	Written2
1.244	-1.743	0.209	1.000	Written2
2.621	-1.867	0.161	1.000	Written2
2.024	-1.696	0.156	1.000	Written2
2.194	-1.284	0.227	1.000	Written2
0.739	-2.356	0.213	1.000	Written2
2.575	-1.444	0.175	1.000	Written2
2.682	-1.107	0.275	1.000	Written2
1.751	-1.352	0.228	1.000	Written2
1.176	-2.014	0.222	1.000	Written2
1.025	-1.364	0.172	1.000	Written2
2.093	-1.232	0.243	1.000	Written2
2.568	-0.565	0.166	1.000	Written2
3.076	-0.265	0.235	1.000	Written2
2.866	-0.032	0.236	1.000	Written2
2.613	-0.115	0.092	1.000	Written2
3.983	0.120	0.063	1.000	Written2
1.639	-2.139	0.200	1.000	Written3
1.899	-1.889	0.191	1.000	Written3
1.782	-1.639	0.187	1.000	Written3
2.698	-1.006	0.148	1.000	Written3
3.162	-0.621	0.256	1.000	Written3
2.361	-0.248	0.273	1.000	Written3
2.655	-0.086	0.330	1.000	Written3
1.901	-1.107	0.238	1.000	Written3
1.016	-1.268	0.210	1.000	Written3
0.992	-1.115	0.203	1.000	Written3
1.346	-0.612	0.153	1.000	Written3
1.385	-0.589	0.171	1.000	Written3
1.256	-0.182	0.196	1.000	Written3
2.881	0.840	0.233	1.000	Written3
1.166	-1.377	0.190	1.000	Written3
1.462	-1.103	0.283	1.000	Written3
2.968	0.711	0.089	1.000	Written3
2.058	-0.265	0.142	1.000	Written3
1.935	-0.648	0.304	1.000	Written3
1.600	-1.093	0.384	1.000	Written3
2.189	-0.664	0.180	1.000	Written3
1.933	-0.952	0.316	1.000	Written3
